game_date,home_team,away_team,model_prob_home,moneyline_home,moneyline_away,has_edge,bet_side,bet_edge_pct,bet_odds,kelly_frac,expected_value,home_won,result_correct,pnl_per_unit
2023-07-02,DAL,WAS,0.6833,-200.0,170.0,False,,,,0.0,,1,,
2023-07-07,DAL,LA,0.6743,430.0,-560.0,False,,,,0.0,,1,,
2023-07-22,DAL,LA,0.768,-380.0,310.0,False,,,,0.0,,1,,
2023-07-25,DAL,CON,0.4488,-134.0,110.0,False,,,,0.0,,0,,
2023-07-28,DAL,WAS,0.6428,-450.0,360.0,False,,,,0.0,,1,,
2023-08-04,DAL,CHI,0.7684,-455.0,350.0,False,,,,0.0,,0,,
2023-08-06,DAL,CHI,0.6563,400.0,-620.0,False,,,,0.0,,0,,
2023-08-08,DAL,LA,0.634,350.0,-455.0,False,,,,0.0,,0,,
2023-08-12,DAL,CON,0.5659,-128.0,104.0,False,,,,0.0,,1,,
2023-08-24,DAL,MIN,0.7241,-345.0,275.0,False,,,,0.0,,0,,
2023-09-03,DAL,IND,0.6991,-575.0,425.0,False,,,,0.0,,0,,
2023-09-05,DAL,NYL,0.4073,180.0,-218.0,False,,,,0.0,,0,,
2023-09-08,DAL,SEA,0.5533,-535.0,400.0,False,,,,0.0,,1,,
2023-05-19,IND,CON,0.1247,250.0,-340.0,False,,,,0.0,,0,,
2023-06-04,IND,LA,0.2887,100.0,-130.0,True,LA,18.07,-130.0,3.0,0.2584,0,1.0,0.7692
2023-06-13,IND,WAS,0.2829,170.0,-200.0,False,,,,0.0,,1,,
2023-06-18,IND,ATL,0.4685,-115.0,-105.0,False,,,,0.0,,0,,
2023-07-02,IND,CHI,0.1956,-145.0,125.0,True,CHI,37.55,125.0,3.0,0.81,0,1.0,1.25
2023-07-09,IND,DAL,0.469,110.0,-130.0,False,,,,0.0,,0,,
2023-07-12,IND,NYL,0.2386,400.0,-500.0,False,,,,0.0,,0,,
2023-07-30,IND,SEA,0.5612,-155.0,135.0,False,,,,0.0,,0,,
2023-08-01,IND,PHO,0.4706,-265.0,215.0,True,PHO,22.52,215.0,3.0,0.6677,1,0.0,-1.0
2023-08-04,IND,CON,0.1902,285.0,-375.0,False,,,,0.0,,0,,
2023-08-08,IND,LA,0.4444,-115.0,-105.0,False,,,,0.0,,0,,
